	Id	Predicted category
0	9561	Film
1	10802	Politics
2	6727	Football
3	12366	Politics
4	11783	Football
5	14177	Technology
6	308	Politics
7	13636	Film
8	1042	Politics
9	1227	Business
10	4042	Film
11	2578	Technology
12	3615	Technology
13	1661	Film
14	3242	Technology
15	10178	Football
16	3533	Politics
17	8749	Politics
18	8127	Business
19	3745	Football
20	12163	Technology
21	10901	Technology
22	7669	Technology
23	569	Film
24	3053	Football
25	12288	Film
26	1320	Film
27	13094	Football
28	3426	Business
29	4273	Football
30	11010	Business
31	6441	Politics
32	7474	Politics
33	8028	Politics
34	11932	Film
35	14299	Business
36	1852	Film
37	7987	Football
38	8934	Football
39	3619	Business
40	3217	Business
41	3000	Business
42	8207	Football
43	6808	Politics
44	10376	Politics
45	11542	Football
46	7983	Politics
47	5460	Football
48	13994	Business
49	13084	Football
50	11525	Film
51	11092	Film
52	2920	Technology
53	4250	Film
54	13967	Football
55	11352	Politics
56	314	Business
57	9020	Business
58	2639	Film
59	10745	Business
60	2728	Business
61	1150	Football
62	2047	Football
63	122	Politics
64	8744	Politics
65	14626	Business
66	3976	Business
67	14097	Film
68	1713	Technology
69	382	Film
70	7872	Film
71	12942	Football
72	5931	Business
73	11473	Technology
74	11692	Politics
75	14957	Film
76	15229	Football
77	7500	Politics
78	640	Football
79	93	Football
80	6406	Football
81	2058	Politics
82	14935	Politics
83	14359	Football
84	13023	Film
85	9387	Technology
86	13259	Film
87	11503	Football
88	1362	Politics
89	1139	Football
90	11391	Football
91	9026	Football
92	4803	Football
93	2331	Football
94	12102	Politics
95	1264	Football
96	15248	Business
97	8880	Film
98	7965	Business
99	7700	Politics
100	6167	Football
101	4373	Football
102	15188	Politics
103	13418	Football
104	6760	Technology
105	10684	Technology
106	8333	Film
107	13277	Football
108	3876	Politics
109	5611	Business
110	2713	Film
111	3873	Football
112	3900	Football
113	10522	Business
114	1903	Technology
115	12109	Football
116	9210	Politics
117	10173	Politics
118	10817	Football
119	12071	Film
120	8170	Politics
121	6309	Football
122	14598	Politics
123	7696	Football
124	9036	Politics
125	4582	Technology
126	3790	Football
127	3553	Football
128	12726	Football
129	2549	Politics
130	2615	Football
131	440	Politics
132	4544	Politics
133	6771	Football
134	12906	Film
135	10517	Politics
136	7624	Football
137	3027	Politics
138	7495	Business
139	10619	Technology
140	11183	Technology
141	10072	Football
142	5786	Film
143	6640	Business
144	15044	Film
145	3393	Football
146	9239	Football
147	12189	Business
148	9207	Film
149	6731	Business
150	7188	Politics
151	13536	Football
152	6602	Business
153	591	Politics
154	274	Politics
155	2688	Football
156	9883	Business
157	8564	Business
158	12774	Football
159	6912	Football
160	11214	Film
161	11269	Politics
162	14057	Politics
163	14754	Film
164	13151	Business
165	7102	Technology
166	2200	Football
